Original CITY,Standardised Name,STATE,REGION,city_id
Agra,Agra,Uttar Pradesh,North,0207001
Ahmedabad,Ahmedabad,Gujarat,West,0403001
Ahmedabad-Gandhinagar,Ahmedabad,Gujarat,West,0403001
Ahmednagar,Ahmednagar,Maharashtra,West,0405001
Ajmer,Ajmer,Rajasthan,West,0406001
Akola,Akola,Maharashtra,West,0405002
Alappuzha,Alappuzha,Kerala,South,0303001
Aligarh,Aligarh,Uttar Pradesh,North,0207002
Allahabad,Allahabad,Uttar Pradesh,North,0207003
Alwar,Alwar,Rajasthan,West,0406002
Ambala,Ambala,Haryana,North,0202001
Amravati,Amravati,Maharashtra,West,0405003
Amritsar,Chandigarh,Chandigarh,North,0201001
Anand,Anand,Gujarat,West,0403002
Ankleshwar,Ankleshwar,Gujarat,West,0403003
Asansol,Asansol,West Bengal,East,0507001
Aurangabad,Aurangabad,Maharashtra,West,0405004
Ayodhya,Ayodhya,Uttar Pradesh,North,0207005
Baddi,Baddi,Himachal Pradesh,North,0203001
Bahadurgarh,Bahadurgarh,Haryana,North,0202002
Ballari,Ballari,Karnataka,South,0302001
Bangalore,Bangalore,Karnataka,South,0302002
Bangalore Rural,Bangalore,Karnataka,South,0302002
Barabanki,Barabanki,Uttar Pradesh,North,0207006
Bardhaman,Bardhaman,West Bengal,East,0507002
Bareilly,Bareilly,Uttar Pradesh,North,0207007
Batala,Chandigarh,Chandigarh,North,0201001
Bathinda,Chandigarh,Chandigarh,North,0201001
Begusarai,Begusarai,Bihar,East,0502001
Belgaum,Belgaum,Karnataka,South,0302003
Belgavi,Belgaum,Karnataka,South,0302003
Bengaluru,Bangalore,Karnataka,South,0302002
Berhampur,Berhampur,Odisha,East,0506001
Bhagalpur,Bhagalpur,Bihar,East,0502003
Bharuch,Bharuch,Gujarat,West,0403004
Bhavnagar,Bhavnagar,Gujarat,West,0403005
Bhilai,Bhilai,Chhattisgarh,East,0503001
Bhimavaram,Bhimavaram,Andhra Pradesh,South,0301002
Bhiwadi,Bhiwadi,Rajasthan,West,0406005
Bhiwani,Bhiwani,Haryana,North,0202004
Bhopal,Bhopal,Madhya Pradesh,West,0404001
bhu_101_wh_hl_01,Unknown,Unknown,Unknown,0601001
Bhubaneswar,Bhubaneswar,Odisha,East,0506002
Bhuj,Bhuj,Gujarat,West,0403006
Bidar,Bidar,Karnataka,South,0302004
Bihar,Bihar,Bihar,East,0502004
Bijapur,Bijapur,Karnataka,South,0302005
BIJNOR,Bijnor,Uttar Pradesh,North,0207009
Bikaner,Bikaner,Rajasthan,West,0406006
Bilaspur,Bilaspur,Chhattisgarh,East,0503002
Bokaro,Bokaro,Jharkhand,East,0504001
Central Goa,Goa,Goa,West,0402001
Chandigarh,Chandigarh,Chandigarh,North,0201001
Chandrapur,Chandrapur,Maharashtra,West,0405006
Chatrapati Sambhaji Nagar,Aurangabad,Maharashtra,West,0405004
Chennai,Chennai,Tamil Nadu,South,0305001
Coimbatore,Coimbatore,Tamil Nadu,South,0305002
Cuttack,Cuttack,Odisha,East,0506003
Darbhanga,Darbhanga,Bihar,East,0502006
Davanagere,Davanagere,Karnataka,South,0302008
Dehradun,Dehradun,Uttarakhand,North,0208001
Delhi,Delhi,Delhi,Delhi NCR,0101001
Deoghar,Deoghar,Jharkhand,East,0504002
Deoria,Deoria,Uttar Pradesh,North,0207010
Dewas,Dewas,Madhya Pradesh,West,0404002
Dhanbad,Dhanbad,Jharkhand,East,0504003
Dharamshala,Dharamshala,Himachal Pradesh,North,0203002
Dharwad,Dharwad,Karnataka,South,0302009
Dibrugarh,Dibrugarh,Assam,East,0501001
Durg,Durg,Chhattisgarh,East,0503003
Durgapur,Durgapur,West Bengal,East,0507006
Eluru,Eluru,Andhra Pradesh,South,0301003
Erode,Erode,Tamil Nadu,South,0305003
Etawah,Etawah,Uttar Pradesh,North,0207011
Faridabad,Faridabad,Haryana,Delhi NCR,0102001
Farrukhabad,Farrukhabad,Uttar Pradesh,North,0207012
Fatehpur,Fatehpur,Uttar Pradesh,North,0207013
Firozabad,Firozabad,Uttar Pradesh,North,0207014
Firozpur,Chandigarh,Chandigarh,North,0201001
Gandhidham,Gandhidham,Gujarat,West,0403007
Gaya,Gaya,Bihar,East,0502007
Ghaziabad,Ghaziabad,Uttar Pradesh,Delhi NCR,0103002
Goa,Goa,Goa,West,0402001
Gonda,Gonda,Uttar Pradesh,North,0207016
Gorakhpur,Gorakhpur,Uttar Pradesh,North,0207017
Gulbarga,Gulbarga,Karnataka,South,0302010
Guntur,Guntur,Andhra Pradesh,South,0301004
Gurgaon,Gurgaon,Haryana,Delhi NCR,0102003
Gurugram,Gurgaon,Haryana,Delhi NCR,0102003
Guwahati,Guwahati,Assam,East,0501002
Gwalior,Gwalior,Madhya Pradesh,West,0404003
Haldwani,Haldwani,Uttarakhand,North,0208002
Hamirpur,Hamirpur,Himachal Pradesh,North,0203003
Hapur,Hapur,Uttar Pradesh,North,0207018
HARDOI,Hardoi,Uttar Pradesh,North,0207019
Haridwar,Haridwar,Uttarakhand,North,0208003
Hassan,Hassan,Karnataka,South,0302011
Hazaribagh,Hazaribagh,Jharkhand,East,0504005
Hisar,Hisar,Haryana,North,0202007
Hoshiarpur,Chandigarh,Chandigarh,North,0201001
Hosur,Hosur,Tamil Nadu,South,0305004
Hubballi,Hubli,Karnataka,South,0302013
Hubli,Hubli,Karnataka,South,0302013
Hyderabad,Hyderabad,Telangana,South,0306001
