ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,instamart_name,VARIANT,instamart_identifier,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
01/04/2025,Faridabad,nit,1393826,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,18,3402
01/04/2025,Chennai,royapettah,1400603,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,27,5103
01/04/2025,Pune,koregaon park,1396001,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,16,3024
01/04/2025,Central Goa,calangute,1392082,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,10,1890
01/04/2025,Agra,civil lines,1401076,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,Yes,89043,1,189,4,756
01/04/2025,Kolkata,salt lake,1400005,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,16,3024
01/04/2025,Chennai,avadi,1401467,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,16,3024
01/04/2025,Bengaluru,koramangala,1397002,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,10,1890
01/04/2025,Mumbai,andheri west,1395000,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,26,4914
01/04/2025,Jaipur,malviya nagar,1398003,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,10,1890
01/04/2025,Gurgaon,jalvayu towers,1402609,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,Yes,53245,1,189,17,3213
01/04/2025,Gurgaon,dlf phase 4,762551,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,No,,,189,15,2835
01/04/2025,Lucknow,hazratganj,1399004,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji - premium instant drink mix for authentic street style lemonade | shikanji mix 225 g,330 g,962270,Yes,743563,1,189,15,2835
01/04/2025,Bhopal,mp nagar,1399345,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji instant drink mix (ginger and mint) - premium desi shikanji patti for authentic lemonade flavour 450 g,450 g,313662,No,,,349,9,3141
01/04/2025,Chandigarh,south mohali,1403831,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji instant drink mix (ginger and mint) - premium desi shikanji patti for authentic lemonade flavour 450 g,450 g,313662,Yes,743563,1,349,6,2094
01/04/2025,Faridabad,nit,1393826,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji instant drink mix (ginger and mint) - premium desi shikanji patti for authentic lemonade flavour 450 g,450 g,313662,No,,,349,7,2443
01/04/2025,Ahmedabad,sg highway,1401006,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji instant drink mix (ginger and mint) - premium desi shikanji patti for authentic lemonade flavour 450 g,450 g,313662,No,,,349,7,2443
01/04/2025,Gurgaon,dlf phase 4,762551,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji instant drink mix (ginger and mint) - premium desi shikanji patti for authentic lemonade flavour 450 g,450 g,313662,No,,,349,13,4537
01/04/2025,Noida,shalimar garden,1401468,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji instant drink mix (ginger and mint) - premium desi shikanji patti for authentic lemonade flavour 450 g,450 g,313662,No,,,349,6,2094
01/04/2025,Hyderabad,madhapur,737088,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji instant drink mix (ginger and mint) - premium desi shikanji patti for authentic lemonade flavour 450 g,450 g,313662,No,,,349,9,3141
01/04/2025,Bengaluru,koramangala,1397002,summer drinks and snacks,tea,drink mixes,jaldhara nimbu shikanji instant drink mix (ginger and mint) - premium desi shikanji patti for authentic lemonade flavour 450 g,450 g,313662,No,,,349,7,2443
01/04/2025,Hyderabad,madhapur,737088,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,No,,,179,21,3759
